"Età","Sesso","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"72","Femmine","4944","5431","5032","5172","4915","4682","4735","4619","4624","4804","4942","5076","4601","4675","4803","4318","5377","5855"
"72","Totale","8546","9234","8548","8803","8489","8018","8131","7973","8114","8247","8509","8886","8056","8251","8424","7741","9841","10507"
"73","Maschi","3574","3455","3634","3360","3436","3441","3220","3267","3263","3381","3322","3426","3695","3323","3452","3491","3319","4347"
"73","Femmine","5086","4821","5303","4897","5056","4790","4608","4633","4536","4533","4709","4843","4971","4528","4589","4703","4233","5283"
"73","Totale","8660","8276","8937","8257","8492","8231","7828","7900","7799","7914","8031","8269","8666","7851","8041","8194","7552","9630"
"74","Maschi","3302","3417","3273","3468","3206","3314","3275","3087","3137","3137","3234","3213","3310","3603","3200","3314","3371","3206"
"74","Femmine","4711","4952","4693","5154","4757","4940","4711","4492","4515","4439","4430","4611","4710","4854","4428","4502","4614","4159"
"74","Totale","8013","8369","7966","8622","7963","8254","7986","7579","7652","7576","7664","7824","8020","8457","7628","7816","7985","7365"
"75","Maschi","2908","3115","3216","3119","3280","3052","3155","3097","2955","2978","3004","3092","3067","3174","3437","3065","3174","3248"
"75","Femmine","4550","4578","4825","4576","4998","4624","4822","4589","4377","4401","4329","4313","4501","4574","4740","4309","4372","4525"
"75","Totale","7458","7693","8041","7695","8278","7676","7977","7686","7332","7379","7333","7405","7568","7748","8177","7374","7546","7773"
"76","Maschi","2786","2724","2931","3028","2938","3087","2895","3007","2954","2823","2832","2871","2959","2951","3029","3282","2947","3049"
"76","Femmine","4368","4390","4428","4651","4440","4802","4490","4665","4487","4232","4283","4219","4231","4378","4423","4593","4206","4239"
"76","Totale","7154","7114","7359","7679","7378","7889","7385","7672","7441","7055","7115","7090","7190","7329","7452","7875","7153","7288"
"77","Maschi","2484","2593","2551","2754","2830","2762","2939","2753","2846","2804","2663","2686","2732","2807","2821","2907","3123","2843"
"77","Femmine","4169","4211","4203","4292","4478","4290","4606","4306","4497","4352","4084","4155","4076","4117","4232","4279","4468","4096"
"77","Totale","6653","6804","6754","7046","7308","7052","7545","7059","7343","7156","6747","6841","6808","6924","7053","7186","7591","6939"
"78","Maschi","2284","2309","2393","2379","2586","2647","2617","2749","2587","2692","2641","2526","2564","2587","2665","2712","2746","2974"
"78","Femmine","3944","3991","4010","4022","4123","4317","4114","4424","4137","4315","4204","3946","4020","3951","3986","4089","4158","4313"
"78","Totale","6228","6300","6403","6401","6709","6964","6731","7173","6724","7007","6845","6472","6584","6538","6651","6801","6904","7287"
"79","Maschi","2020","2095","2128","2214","2175","2400","2449","2422","2572","2418","2513","2470","2392","2412","2426","2502","2574","2602"
"79","Femmine","3676","3767","3797","3840","3815","3936","4147","3930","4254","3951","4122","4020","3761","3851","3784","3854","3935","4019"
"79","Totale","5696","5862","5925","6054","5990","6336","6596","6352","6826","6369","6635","6490","6153","6263","6210","6356","6509","6621"
"80","Maschi","1881","1876","1912","1965","2020","2015","2226","2251","2230","2371","2239","2358","2296","2236","2244","2315","2366","2437"
"80","Femmine","3547","3501","3529","3633","3635","3616","3744","3932","3742","4032","3745","3924","3822","3597","3647","3623","3695","3779"
"80","Totale","5428","5377","5441","5598","5655","5631","5970","6183","5972","6403","5984","6282","6118","5833","5891","5938","6061","6216"
"81","Maschi","1630","1721","1714","1738","1770","1873","1890","2031","2063","2033","2170","2063","2174","2131","2063","2115","2140","2242"
"81","Femmine","3216","3327","3306","3331","3421","3409","3409","3515","3723","3529","3832","3545","3698","3659","3409","3485","3456","3528"
"81","Totale","4846","5048","5020","5069","5191","5282","5299","5546","5786","5562","6002","5608","5872","5790","5472","5600","5596","5770"
"82","Maschi","1012","1463","1534","1539","1558","1587","1688","1721","1851","1924","1866","1995","1885","2001","1949","1908","1947","1977"
"82","Femmine","2035","3000","3100","3077","3119","3194","3212","3173","3324","3469","3311","3580","3349","3464","3427","3216","3294","3286"
"82","Totale","3047","4463","4634","4616","4677","4781","4900","4894","5175","5393","5177","5575","5234","5465","5376","5124","5241","5263"
"83","Maschi","783","904","1293","1402","1358","1368","1434","1532","1557","1675","1726","1703","1860","1724","1831","1800","1743","1795"
"83","Femmine","1700","1873","2780","2870","2840","2889","2967","2963","2946","3100","3225","3092","3388","3125","3212","3207","3022","3084"
"83","Totale","2483","2777","4073","4272","4198","4257","4401","4495","4503","4775","4951","4795","5248","4849","5043","5007","4765","4879"
"84","Maschi","783","683","789","1133","1239","1243","1224","1275","1367","1404","1490","1537","1538","1649","1544","1669","1620","1585"
"84","Femmine","1694","1577","1706","2536","2613","2629","2668","2698","2744","2709","2846","2970","2851","3130","2871","2982","2963","2838"
"84","Totale","2477","2260","2495","3669","3852","3872","3892","3973","4111","4113","4336","4507","4389","4779","4415","4651","4583","4423"
"85","Maschi","726","699","593","682","991","1087","1091","1085","1134","1208","1242","1307","1379","1369","1458","1382","1497","1465"
"85","Femmine","1605","1531","1439","1567","2287","2371","2390","2426","2464","2502","2457","2600","2731","2627","2847","2646","2734","2746"
"85","Totale","2331","2230","2032","2249","3278","3458","3481","3511","3598","3710","3699","3907","4110","3996","4305","4028","4231","4211"
"86","Maschi","718","637","616","524","578","865","939","918","952","996","1034","1080","1121","1228","1177","1287","1204","1342"
"86","Femmine","1651","1458","1354","1297","1392","2077","2151","2168","2212","2202","2247","2227","2334","2489","2387","2578","2396","2492"
"86","Totale","2369","2095","1970","1821","1970","2942","3090","3086","3164","3198","3281","3307","3455","3717","3564","3865","3600","3834"
"87","Maschi","563","602","539","542","420","495","753","804","781","815","827","894","929","970","1036","1017","1111","1066"
"87","Femmine","1509","1473","1285","1210","1134","1217","1881","1900","1924","2003","1982","2007","2033","2114","2196","2181","2275","2182"
"87","Totale","2072","2075","1824","1752","1554","1712","2634","2704","2705","2818","2809","2901","2962","3084","3232","3198","3386","3248"
"88","Maschi","476","467","503","461","460","342","432","640","697","676","694","698","767","799","826","894","867","939"
"88","Femmine","1244","1293","1293","1126","1055","991","1042","1626","1684","1683","1735","1748","1787","1805","1867","1958","1911","2034"
"88","Totale","1720","1760","1796","1587","1515","1333","1474","2266","2381","2359","2429","2446","2554","2604","2693","2852","2778","2973"
"89","Maschi","434","398","377","426","382","397","299","361","548","560","553","575","587","653","674","700","771","748"
"89","Femmine","1107","1079","1112","1111","956","905","869","892","1388","1460","1464","1521","1522","1545","1558","1671","1704","1676"
"89","Totale","1541","1477","1489","1537","1338","1302","1168","1253","1936","2020","2017","2096","2109","2198","2232","2371","2475","2424"
"90","Maschi","284","356","322","319","351","316","332","244","288","461","451","449","457","504","519","575","558","632"
"90","Femmine","830","933","920","955","935","826","776","725","757","1200","1231","1246","1311","1289","1294","1363","1414","1449"
"90","Totale","1114","1289","1242","1274","1286","1142","1108","969","1045","1661","1682","1695","1768","1793","1813","1938","1972","2081"
"91","Maschi","236","230","285","255","247","280","253","269","201","239","356","364","374","366","401","416","459","448"
"91","Femmine","684","680","794","761","789","791","705","642","625","625","1007","1022","1034","1122","1082","1093","1131","1187"
"91","Totale","920","910","1079","1016","1036","1071","958","911","826","864","1363","1386","1408","1488","1483","1509","1590","1635"
"92","Maschi","160","190","184","221","205","187","229","200","221","161","180","291","284","300","280","306","338","377"
"92","Femmine","463","551","532","638","596","642","636","587","530","508","501","830","812","837","927","874","886","928"
"92","Totale","623","741","716","859","801","829","865","787","751","669","681","1121","1096","1137","1207","1180","1224","1305"
"93","Maschi","119","127","142","144","165","166","140","178","159","178","116","141","217","228","225","216","251","270"
"93","Femmine","361","373","420","426","521","501","520","514","473","436","401","400","660","663","643","744","701","732"
"93","Totale","480","500","562","570","686","667","660","692","632","614","517","541","877","891","868","960","952","1002"
"94","Maschi","62","92","91","106","106","135","122","104","136","123","130","91","113","163","169","173","160","211"
"94","Femmine","280","287","296","334","329","406","408","398","401","394","354","309","328","522","528","500","584","561"
"94","Totale","342","379","387","440","435","541","530","502","537","517","484","400","441","685","697","673","744","772"
"95","Maschi","40","42","62","71","76","81","101","90","75","101","96","101","73","87","107","126","130","116"
"95","Femmine","169","212","209","221","242","266","311","320","307","324","303","267","237","248","389","425","375","452"
"95","Totale","209","254","271","292","318","347","412","410","382","425","399","368","310","335","496","551","505","568"
"96","Maschi","33","30","31","47","48","58","62","77","66","59","80","71","76","56","64","74","87","94"
"96","Femmine","125","114","145","154","153","179","213","254","258","237","252","223","199","173","171","297","309","299"
"96","Totale","158","144","176","201","201","237","275","331","324","296","332","294","275","229","235","371","396","393"
"97","Maschi","19","28","15","22","29","38","37","41","53","52","42","57","48","56","39","45","50","65"
"97","Femmine","103","94","71","98","108","104","137","153","188","194","168","199","168","140","113","129","219","241"
"97","Totale","122","122","86","120","137","142","174","194","241","246","210","256","216","196","152","174","269","306"
"98","Maschi","15","9","18","12","12","24","29","23","29","37","32","30","37","34","36","29","34","36"
"98","Femmine","75","70","62","48","62","69","67","89","102","141","135","125","150","129","97","89","90","174"
"98","Totale","90","79","80","60","74","93","96","112","131","178","167","155","187","163","133","118","124","210"
"99","Maschi","13","10","6","13","4","7","20","21","17","22","28","19","23","22","26","23","25","22"
"99","Femmine","68","57","43","44","35","38","46","49","65","73","106","96","99","116","78","72","65","73"
"99","Totale","81","67","49","57","39","45","66","70","82","95","134","115","122","138","104","95","90","95"
"100 e oltre","Maschi","14","20","19","15","17","11","15","25","28","19","24","33","36","36","35","41","47","59"
"100 e oltre","Femmine","58","90","91","92","83","74","72","71","81","102","113","146","161","176","186","177","179","185"
"100 e oltre","Totale","72","110","110","107","100","85","87","96","109","121","137","179","197","212","221","218","226","244"
"Totale","Maschi","479674","477625","473898","471185","466106","462126","461942","458062","458909","457160","456022","456739","458391","458585","458311","458158","457981","456948"
"Totale","Femmine","522985","520773","517807","516956","512638","509125","509751","506252","507087","506054","505751","505696","505922","504936","502700","501275","499590","497370"
"Totale","Totale","1002659","998398","991705","988141","978744","971251","971693","964314","965996","963214","961773","962435","964313","963521","961011","959433","957571","954318"
